,city,place,rating,type
51,Bellary,British Colonial Buildings Historic Place,4.4,Historic Place
52,Bellary,Turkish Martyrs Graveyard Historic Place,4.4,Historic Place
53,Bellary,Kuntegadda Park And Kaategudda Park Park,4.4,Park
54,Bellary,Mailarlinga Temple Temple,4.4,Temple
55,Bidar,Gurudwara Nanak Jhira Sahib Place of Worship,4.5,Place of Worship
56,Bidar,Bidar Fort Fort,4.5,Fort
57,Bidar,Rangin Mahal Monument,4.5,Monument
58,Bidar,Papnash Shiva Temple Place of Worship,4.5,Place of Worship
59,Bidar,Chaubara Monument,4.5,Monument
60,Bidar,Chaukhandi Of Hazrat Khalil Ullah Monument,4.5,Monument
61,Bidar,Mohamad Gawan Madarsa Religious Place,4.5,Religious Place
62,Bidar,Bahmani Tombs Monument,4.5,Monument
63,Bidar,Narasimha Jhira Cave Temple Place of Worship,4.5,Place of Worship
64,Bidar,Solah Khamba Mosque Place of Worship,4.5,Place of Worship
65,Bijapur,Gol Gumbaz Historic Place,4.5,Historic Place
66,Bijapur,Malik-e-Maidan Monument,4.5,Monument
67,Bijapur,Ibrahim Rauza Monument,4.5,Monument
68,Bijapur,Almatti Dam Dam,4.5,Dam
69,Bijapur,Bara Kaman Historic Place,4.5,Historic Place
70,Bijapur,Jumma Masjid Mosque,4.5,Mosque
71,Bijapur,Jod Gumbaz Monument,4.5,Monument
72,Bijapur,Kudalasangama Place of Worship,4.5,Place of Worship
73,Bijapur,Bara Dari (Cook Palace) Heritage Site,4.5,Heritage Site
74,Bijapur,Bijpaur Fort Fort,4.5,Fort
75,Bijapur,Shivgiri Temple Temple,4.5,Temple
76,Bijapur,Archaeological Museum Bijapur Museum,4.5,Museum
77,Bijapur,Shri Shiddeshwar Temple Place of Worship,4.5,Place of Worship
78,Bijapur,Upli Burj Monument,4.5,Monument
79,Bijapur,Uppali Buruz Monument,4.5,Monument
80,Bijapur,Jama Masjid Place of Worship,4.5,Place of Worship
81,Bijapur,Taj Bawdi Offbeat Attraction,4.5,Offbeat Attraction
82,Bijapur,Bijapur Castle Fort,4.5,Fort
83,Bijapur,Sat Manzil Monument,4.5,Monument
84,Bijapur,Lotus Lake Lake,4.5,Lake
85,Bijapur,Jala Manzil Palace,2.9,Palace
86,Bijapur,Gagan Mahal Palace,2.8,Palace
87,Bijapur,Pangarh Fort Fort,2.6,Fort
88,Bijapur,Asar Mahal Monument,2.7,Monument
89,Bijapur,The Citadel Monument,2.5,Monument
90,Bijapur,Chand Bawadi Historic Place,2.5,Historic Place
91,Bijapur,Basanta Vana Place of Worship,3.1,Place of Worship
92,Bijapur,Gajanana Temple Place of Worship,2.9,Place of Worship
93,Bijapur,Sherza Burj Historic Place,3,Historic Place
94,Bijapur,Sangeeta Mahal Entertainment Centre,2.7,Entertainment Centre
95,Bijapur,Mehtar Mahal Palace,3.3,Palace
96,Bijapur,Shri Prasanna Ganesh Temple Craft,2.8,Craft
97,Bijapur,Navaraspura Entertainment Centre,2.7,Entertainment Centre
98,Bijapur,Narasimha Temple Place of Worship,2.7,Place of Worship
99,Bijapur,Anand Mahal Palace,2.6,Palace
100,Bijapur,Afzal Khan Cenotaph Monument,2.9,Monument
101,Bijapur,Ambabai Temple Temple,2.8,Temple
102,Bijapur,Ayyappa Swamy Temple Temple,2.8,Temple
103,Bijapur,Bhairamgarh Sanctuary Sanctuary,2.6,Sanctuary
104,Bijapur,Csi Church Church,3.2,Church
105,Chamarajanagar,Bara Chukki Offbeat Attraction,4.4,Offbeat Attraction
106,Chamarajanagar,Gopalaswamy Betta Hill,3.7,Hill
107,Chamarajanagar,Chamarajeshwara Temple Place of Worship,3.7,Place of Worship
108,Chamarajanagar,Suvarnavathi Reservoir Offbeat Attraction,3.8,Offbeat Attraction
109,Chamarajanagar,Kanakagiri Hill Hill,3.5,Hill
110,Chamarajanagar,Dargah Of Peer Hazarath Sayyaduna Hazarath Murdana Gayib Religious Place,5,Religious Place
111,Chikballapur,Vivekanand Falls,3.4,Hill
112,Chikballapur,The Ranganatha Swamy temple,3.4,Temple
113,Chikballapur,Kaivara,3.4,Mountain
114,Chikballapur,Nandi Hills,3.5,Hill
115,Chikballapur,Muddenahalli,3.1,Religious Place
116,Chikballapur,Bhoganandeeshwara Temple,3.1,Temple
117,Chikballapur,Trekking,3.1,Water Fall
118,Chikballapur,Chintamani,3.6,Monument
119,Chikmagalur,Sringeri Sharada Peetha Temple,4.5,Temple
120,Chikmagalur,Mullayanagiri Hill,4.5,Hill
121,Chikmagalur,Baba Budan Giri Hills Hill,4.5,Hill
122,Chikmagalur,Inam Dattatreya Peetha Religious Place,4.5,Religious Place
123,Chikmagalur,Hebbe Falls Water Fall,4.5,Water Fall
124,Chikmagalur,Sharadamba Temple Temple,4.5,Temple
125,Chikmagalur,Amruteshvara Temple Temple,4.5,Temple
126,Chikmagalur,Hanumana Gundi Falls Water Fall,4.5,Water Fall
127,Chikmagalur,Mullaiyanagiri Hill,4.5,Hill
128,Chikmagalur,Jerry Falls Water Fall,4.5,Water Fall
129,Chikmagalur,Annapurneshwari Temple Temple,4.5,Temple
130,Chikmagalur,Sri Parsawanath Tirthankara Jain Temple Temple,4.5,Temple
131,Chikmagalur,Charmadi Ghat (Mudigere) Ghat,4.5,Ghat
132,Chikmagalur,Kudremukh National Park National Park,4.5,National Park
133,Chikmagalur,Ayyanakere Lake Lake,4.5,Lake
134,Chikmagalur,Rajendra Hill Hill,4.5,Hill
135,Chikmagalur,Coffee Museum Museum,4.5,Museum
136,Chikmagalur,Sringeri Mutt Temple,4.5,Temple
137,Chikmagalur,Bhadra Wildlife Sanctuary Sanctuary,4.5,Sanctuary
138,Chikmagalur,Kemmanagundi Hill,4.5,Hill
139,Chikmagalur,Kodanda Ramaswamy Temple Temple,4.4,Temple
140,Chikmagalur,Vidyasankara Temple Temple,3.7,Temple
141,Chikmagalur,Central Coffee Research Institution Offbeat Attraction,3.7,Offbeat Attraction
142,Chikmagalur,Malayala Brahma Temple Temple,3.8,Temple
143,Chikmagalur,Lakya Dam Dam,3.5,Dam
144,Chikmagalur,Madagadakere Lake Lake,5,Lake
145,Chikmagalur,Torana Ganapati Temple Temple,5,Temple
146,Chikmagalur,Manikyadhara Falls Water Fall,3.9,Water Fall
147,Chikmagalur,Gangamoola Hill Hill,3.6,Hill
148,Chikmagalur,Kere Anjaneya Temple Temple,3.6,Temple
149,Chikmagalur,Kalahatti Falls Water Fall,3.4,Water Fall
150,Chikmagalur,Muthodi Wildlife Sanctuary Sanctuary,2.9,Sanctuary
151,Chikmagalur,Mahatama Gandhi Park. Park,1.4,Park
152,Chikmagalur,Thirumaleguppi Mountain,2.1,Mountain
153,Chikmagalur,Rock Garden Garden,2.9,Garden
154,Chitradurga,Chitradurga Fort Fort,4.5,Fort
155,Chitradurga,Chandravalli Caves Historic Place,4.6,Historic Place
156,Chitradurga,Vani Vilas Sagar Dam,4.2,Dam
157,Chitradurga,Hiriyur Place of Worship,5,Place of Worship
158,Chitradurga,Jogimatti Religious Place,5,Religious Place
159,Chitradurga,Kallina Kote Fort,4.1,Fort
160,Chitradurga,Adumalleshwara Temple Place of Worship,3.6,Place of Worship
161,Mangalore,Kudroli Sri Gokarnanatheshwara Temple Temple,4.6,Temple
162,Mangalore,Panambur Beach Beach,4.3,Beach
163,Mangalore,St. Aloysious Chapel Church,4.4,Church
164,Mangalore,Kateel Temple,4.7,Temple
165,Mangalore,Tannirubhavi Beach Beach,4.3,Beach
166,Mangalore,Durga Parameshwari Temple Temple,4.6,Temple
167,Mangalore,St. Mary'S Islands Island,4.6,Island
168,Mangalore,Kadri Manjunatha Temple Temple,4.5,Temple
169,Mangalore,Mangalore Beach Beach,4.1,Beach
170,Mangalore,Mangaladevi Temple Temple,4,Temple
171,Mangalore,Shri Manjunatha Temple Temple,4.6,Temple
172,Mangalore,Light House Hill Garden Garden,4.5,Garden
173,Mangalore,Ullal Offbeat Attraction,4.1,Offbeat Attraction
174,Mangalore,Pilikula Nisargadhama Theme Park,4.2,Theme Park
175,Mangalore,Milagres Church Church,4.1,Church
176,Mangalore,Someshwar Beach Beach,4.3,Beach
177,Mangalore,Pilikula Park And Golf Course Park,3.7,Park
178,Mangalore,Polali Rajarajeshwari Temple Temple,4.6,Temple
179,Mangalore,Shri Sharavu Mahaganapathi Temple Temple,4.4,Temple
180,Mangalore,Kudroli Gokarnath Temple Temple,4.3,Temple
181,Mangalore,Thousand Pillars Jain Temple Temple,4.2,Temple
182,Mangalore,Kadri Hill Park Park,3.9,Park
183,Mangalore,Kudupu Sri Anantha Padmanabha Temple Temple,3.8,Temple
184,Mangalore,Mangala Stadium Cricket stadium,3.6,Cricket stadium
185,Mangalore,New Mangalore Port Port,3.6,Port
186,Mangalore,Mahatma Gandhi Museum Museum,5,Museum
187,Mangalore,Masjid Zeenath Baksh(Jumma Masjid) Mosque,3.9,Mosque
188,Mangalore,Rosario Cathedral Church,4.8,Church
189,Mangalore,Sammilan Shetty'S Butterfly Park Park,5,Park
190,Dharwad,Sadhankere Lake,4.3,Lake
191,Dharwad,Urban Oasis Mall Mall,5,Mall
192,Dharwad,Ulavi Basaveshwar Temple Temple,3.6,Temple
193,Dharwad,Nrupatunga Betta Picnic Spot,3.9,Picnic Spot
194,Dharwad,Unkal Lake Lake,4.3,Lake
195,Dharwad,Kelgeri Lake Lake,2.9,Lake
196,Gadag,Trikuteshwara Temple Place of Worship,4.6,Place of Worship
197,Gadag,"Nagakunda, Sudi Taluka Heritage Site",5,Heritage Site
198,Gadag,Lakkundi Religious Place,4.6,Religious Place
199,Gadag,Veer Narayana Temple Place of Worship,3.6,Place of Worship
200,Gadag,Dambala Temple Place of Worship,3.3,Place of Worship
201,Gulbarga,Khwaja Bande Nawaz Dargah Dargah,4.4,Dargah
202,Gulbarga,Sannati Village,3.9,Village
203,Gulbarga,Jama Masjid Mosque,4,Mosque
204,Gulbarga,Gulbarga Fort Fort,4.1,Fort
205,Gulbarga,Chandralamba Temple Temple,5,Temple
206,Gulbarga,Deval Ghanagapur Village,5,Village
207,Hassan,Gorur Dam Dam,4.2,Dam
208,Hassan,Shettihalli Church Church,3.8,Church
209,Hassan,Bisle Ghat Or Bisle Reserve Forest Sanctuary,4.6,Sanctuary
210,Hassan,Veeranarayana Temple Temple,4.3,Temple
211,Hassan,Hulikere Pond Pond,3.6,Pond
212,Hassan,Hasanamba Temple Temple,3.5,Temple
213,Hassan,District Museum Museum,2.9,Museum
214,Haveri,Siddeshwara Temple Place of Worship,3.3,Place of Worship
215,Haveri,Tarakeshwara Temple Place of Worship,4.6,Place of Worship
216,Haveri,Bankapura Peacock Sanctuary Sanctuary,4.5,Sanctuary
217,Haveri,Ranebennur Blackbuck Sanctuary Sanctuary,5,Sanctuary
218,Coorg,Namdroling Monastery (Little Tibet) Monastery,4.3,Monastery
219,Coorg,Dubare Elephant Camp Sanctuary,3.9,Sanctuary
220,Coorg,Abbi Falls Water Fall,3.9,Water Fall
221,Coorg,Tibetian Monastery Monastery,4.4,Monastery
222,Coorg,Iruppu Falls Water Fall,4.4,Water Fall
223,Coorg,Mandalpatti Mountain,4.5,Mountain
224,Coorg,Bylakuppe Heritage Site,4.1,Heritage Site
225,Coorg,Brahmagiri Peak Hill,4.8,Hill
226,Coorg,Raja's Seat View point,3.8,View point
227,Coorg,Omkareshwara Temple Temple,3.9,Temple
228,Coorg,Harangi Dam Dam,4.5,Dam
229,Coorg,Nagarhole Park National Park,3.8,National Park
230,Coorg,Mandalpatti View Point View point,5,View point
231,Coorg,Cauvery Nisargadhama Picnic Spot,3.7,Picnic Spot
232,Coorg,Mallalli Falls Water Fall,4.1,Water Fall
233,Coorg,Bhagamandala Temple,4.2,Temple
234,Coorg,Tadiandamol Peak Mountain,4.7,Mountain
235,Coorg,Padi Iggutappa Temple Temple,4.5,Temple
236,Coorg,Thadiyandamol Hills Hill,4,Hill
237,Coorg,"Chettalli, Madikeri Village",4.6,Village
238,Coorg,Pushpagiri Wildlife Sanctuary Sanctuary,4.1,Sanctuary
239,Coorg,Talakaveri Wildlife Sanctuary Sanctuary,4.3,Sanctuary
240,Coorg,Nisargadhama Forest Forest,3.4,Forest
241,Coorg,Nalknad Palace Palace,4.1,Palace
242,Coorg,Valnur Fishing Camp Sanctuary,4.7,Sanctuary
243,Coorg,Somwarpet Offbeat Attraction,3.9,Offbeat Attraction
244,Coorg,Karada Monument,4.8,Monument
245,Coorg,"Shri Shringeri Shankar Math, Siddapura Religious Place",4.8,Religious Place
246,Coorg,Clock Tower Clock Tower,4.1,Clock Tower
247,Coorg,Nehru Mantap Picnic Spot,4.6,Picnic Spot
248,Coorg,Honnamana Kere Lake,4.4,Lake
249,Coorg,St. Anne's Church Church,4.2,Church
250,Coorg,Barapole Rafting Sport,4,Sport
251,Coorg,Chomamale Hill Hill,4.3,Hill
252,Coorg,"Veerabhoomi, Dubare Village",3.7,Village
253,Coorg,Gaddige Tomb,4,Tomb
254,Coorg,Dargah Sharif Of Yemmemadu Dargah,4,Dargah
255,Coorg,"Burude Falls, Siddapura Water Fall",4,Water Fall
256,Coorg,Veerabhoomi Tourist Village Village,4.8,Village
257,Kolar,Kurudumale Place of Worship,4.3,Place of Worship
258,Kolar,Kotilingeshwara Temple Place of Worship,4.3,Place of Worship
259,Kolar,Kolaramma Temple Place of Worship,5,Place of Worship
260,Kolar,Bethamangala Lake,4.3,Lake
261,Kolar,Chikka Tirupati Temple Temple,4.3,Temple
262,Kolar,Someshwara Temple Place of Worship,4.3,Place of Worship
263,Kolar,Avani Offbeat Attraction,3.8,Offbeat Attraction
264,Kolar,Antara Gange Offbeat Attraction,3.2,Offbeat Attraction
265,Kolar,Bangaru Tirupati Place of Worship,3.6,Place of Worship
266,Kolar,Bangarapet Offbeat Attraction,2.5,Offbeat Attraction
267,Koppal,Huligemma Temple Place of Worship,4.3,Place of Worship
268,Koppal,Huligemma Temple Place of Worship,4.3,Place of Worship
269,Koppal,Munirabad Dam,4.3,Dam
270,Koppal,Anegundi Village,3.6,Village
271,Koppal,Navabrindavanam Tomb,3.6,Tomb
272,Mandya,Gumbaz Fort,3.9,Fort
273,Mandya,Krishna Raja Sagara Dam And Brindavan Gardens Park,4.4,Park
274,Mandya,Tonnur Kere Lake,5,Lake
275,Mandya,Shivanasamudra Falls Water Fall,4.6,Water Fall
276,Mandya,Sri Saumyakeshava Temple Temple,3.6,Temple
277,Mandya,Lakshminarayana Temple Place of Worship,4.6,Place of Worship
278,Mandya,Basaralu Temple Place of Worship,4.3,Place of Worship
279,Mandya,Kokkare Bellur Village,3.6,Village
280,Mandya,Kuntibetta Hill,3,Hill
281,Mandya,Kokrebellur Pelicanry Village,2.9,Village
282,Mandya,Sri Ranganathaswamy Temple Place of Worship,5,Place of Worship
283,Mandya,Ganjam Historic Place,3.9,Historic Place
284,Raichur,Koormagadde Village,5,Village
285,Raichur,Kallur Village,3.1,Village
286,Raichur,Raichur Fort Fort,3.3,Fort
287,Raichur,Ek Minar Ki Masjid Place of Worship,2.5,Place of Worship
288,Raichur,Tomb Of Pir Sailani Shah Monument,2.9,Monument
289,Raichur,Tomb Of Pir Sailani Shah Monument,2.9,Monument
290,Raichur,Manvi Place of Worship,2.9,Place of Worship
291,Raichur,Bala Hisar Offbeat Attraction,5,Offbeat Attraction
292,Ramnagaram,Ramnagara Hills,3.4,Hills
293,Ramnagaram,Ramdevara Temple,3.4,Temple
294,Ramnagaram,Ramadevarabetta hills,3.4,Hills
295,Ramnagaram,Janapada Loka,3.6,Park
296,Ramnagaram,Savandurga,3.1,Dam
297,Ramnagaram,Bird watching in Ramnagara,3.1,National Park
298,Ramnagaram,City Shopping,3,Mall
299,Shimoga,Jog Falls Water Fall,4.6,Water Fall
300,Shimoga,Kodachadri Hill,4.8,Hill
301,Shimoga,Bhadra River Project Dam Dam,4.5,Dam
302,Shimoga,Gudavi Bird Sanctuary Sanctuary,4.2,Sanctuary
303,Shimoga,Tavarekoppa Tiger And Lion Safari National Park,4.4,National Park
304,Shimoga,Tyavarekoppa Picnic Spot,3.7,Picnic Spot
305,Shimoga,Sakrebayalu Elephant Camp National Park,3.9,National Park
306,Shimoga,Sharavati River River,3.9,River
307,Shimoga,Gandhi Park Park,4.6,Park
308,Shimoga,Gandhi Park Park,4.6,Park
309,Shimoga,Shivappanaika Palace Museum Museum,4.6,Museum
310,Shimoga,Kundadri Mountain,4.5,Mountain
311,Shimoga,Madhugiri Fort Fort,4.1,Fort
312,Shimoga,Shiva Temple Temple,5,Temple
313,Shimoga,Sri Raghavendra Swamy Temple Temple,4.6,Temple
314,Shimoga,Keladi Temple,3.9,Temple
315,Shimoga,Ganpati Temple Temple,3.9,Temple
316,Shimoga,Ganpati Temple Temple,3.9,Temple
317,Shimoga,Sacred Heart Church Church,3.6,Church
318,Shimoga,Gajanur Dam Dam,3.6,Dam
319,Shimoga,Linganmakki Dam Dam,2.9,Dam
320,Shimoga,Shivappa Naik Palace Palace,3.2,Palace
321,Shimoga,Sri Kalikaparmeswari Temple Temple,5,Temple
322,Tumkur,Sri Venugopala Swamy Temple Temple,5,Temple
323,Tumkur,Devarayanadurga Hill,4.3,Hill
324,Tumkur,Namada Chilume Water spring,4.6,Water spring
325,Tumkur,Sree Siddaganga Mutt Religious Place,3.9,Religious Place
326,Tumkur,Kalleshwara Temple Place of Worship,5,Place of Worship
327,Tumkur,Siddara Betta Place of Worship,5,Place of Worship
328,Tumkur,Yoganarasimha Temple Temple,5,Temple
329,Tumkur,Devarayanadurga State Forest Sanctuary,4.6,Sanctuary
330,Tumkur,Shiva Ganga Religious Place,3.9,Religious Place
331,Tumkur,Yediyur Siddhalingeshwara Temple Place of Worship,3.6,Place of Worship
332,Tumkur,Aralaguppe Place of Worship,5,Place of Worship
333,Tumkur,Kote Anjeneya Swami Statue Statue,5,Statue
334,Tumkur,Basadi BettaMandaragiri Temple,4.3,Temple
335,Tumkur,Gulur Ganesh Temple Place of Worship,4.3,Place of Worship
336,Tumkur,Lakshmi Narasimha Swamy Temple Place of Worship,3.9,Place of Worship
337,Tumkur,Madhugiri Bhagawan Mallinatha Temple Place of Worship,4.3,Place of Worship
338,Udupi,Sri Krishna Temple Temple,4.6,Temple
339,Udupi,Kaup Beach Beach,4.4,Beach
340,Udupi,Udupi Sri Krishna Matha Religious Place,4.5,Beach
341,Udupi,Kamalashile Brahmi Durgaparameshwari Temple Temple,4.5,Temple
342,Udupi,Chandramauleshvara Temple Temple,4.3,Beach
343,Udupi,Jumadi Islands Island,4.4,Temple
344,Udupi,Hood Beach Beach,4.6,Beach
345,Udupi,Manipal Lake Lake,4.6,Temple
346,Udupi,Jomlu Theertha Falls Water Fall,5,Beach
347,Udupi,Durga Parameshwari Temple Temple,5,Temple
348,Udupi,Prasanna Ganapati Temple Temple,5,Beach
349,Udupi,Shani Temple Temple,5,Temple
350,Udupi,Udyavara Ganapathi Temple Temple,4.6,Beach
351,Udupi,Pajaka Village Village,3.2,Island
352,Udupi,Iskon Temple Temple,4.3,Religious Place
353,Udupi,Kodi Beach Beach,4,Beach
354,Karwar,Kurumgad island,3.4,Beach
355,Karwar,Devbagh Beach,4.1,Temple
356,Karwar,Karwar beach,4.1,Beach
357,Karwar,Majali beach,3.4,Temple
358,Karwar,Shopping in Karwar,3,Beach
359,Karwar,Sadashivgadh Hill Fort,3.1,Temple
360,Karwar,Oyster Rock Lighthouse,3.1,Beach
361,Karwar,Durga Temple Karwar,3.1,Temple
362,Karwar,Dargah of Peer Shan Shamsuddin Kharobat,3.1,Beach
363,Karwar,Venkataramana temple,3.1,Temple
364,Karwar,Naganath temple,3.1,Beach
365,Karwar,Koodi bagh beach,3.1,River
366,Karwar,Kot Shiveshwar,3.1,Temple
367,Karwar,Warship Museum,0,Cave
368,Karwar,Narasimha Temple,3.1,Fort
369,Karwar,Karwar Aquarium,3.8,National Park
370,Karwar,Kali Bridge,3.7,Sanctuary
371,Karwar,Tilmati Beach,3.9,Dam
372,Karwar,Anashi Waterfall,4.2,Temple
373,Karwar,Maruti Temple Karwar,3.5,View point
374,Karwar,Guddalli Peak,3.4,Hill
375,Karwar,Binaga Beach,3.9,Temple
376,Karwar,Sajjeshswara Temple,4.4,Offbeat Attraction
377,Dandeli,River Kali River,4.5,River
378,Dandeli,Syntheri Rock Rock,3.8,Temple
379,Dandeli,Kavala Caves Cave,4.8,Cave
380,Dandeli,Shivaji Fort Fort,4.3,Fort
381,Dandeli,Anshi National Park National Park,3.7,National Park
382,Dandeli,Dandeli Wildlife Sanctuary Sanctuary,3.5,Sanctuary
383,Dandeli,Supa Dam Dam,3.5,Dam
384,Dandeli,Dandelappa Temple Temple,5,Temple
385,Dandeli,Sykes Point View point,3.9,View point
386,Dandeli,Shiroli Peak Hill,3.6,Hill
387,Dandeli,Sri Mallikarjuna Temple Temple,3.6,Temple
388,Dandeli,Kulgi Nature Camp Offbeat Attraction,3.5,Offbeat Attraction
389,Hospet,Tungabhadra Dam Dam,4.3,Dam
390,Hospet,Royal Palace Palace,4.6,Palace
391,Hospet,Queen's Bath Historic Place,3.9,Historic Place
392,Hospet,The Archaeological Museum Museum,4.1,Museum
393,Hospet,Nandanavana Park Park,3.6,Park
394,Hospet,Chakra Vana Park,3.6,Park
395,Hospet,Shri Ramulu Park Park,2.9,Park
396,Belgaum,Belgaum Fort Fort,4.4,Fort
397,Belgaum,Ramkrishna Ashrama Ashram,4.6,Ashram
398,Belgaum,Kamala Basti Heritage Site,4.6,Heritage Site
399,Belgaum,Kapileshwara Temple Temple,4.8,Temple
400,Belgaum,Military Durga Devi Mandir Temple,4.5,Temple
401,Belgaum,Kote Keri (Fort Lake) Lake,5,Lake
402,Belgaum,Rakaskop Cave,4.3,Cave
403,Belgaum,Sural Falls Water Fall,4.3,Water Fall
404,Belgaum,Sri Hanuman Temple Temple,3.6,Temple
405,Belgaum,Mahadev Temple Temple,3.9,Temple
406,Belgaum,Naviltirtha Valley,3.6,Valley
407,Belgaum,Kittur Fort And Palace Fort,3.2,Fort
408,Bangalore,Wonder La Theme Park,4.5,Theme Park
409,Bangalore,Lal Bagh Garden,4.2,Garden
410,Bangalore,Bull Temple Nandi Temple Temple,4.4,Temple
411,Bangalore,ISKCON Sri Radha Krishna-Chandra Mandir Temple,4.4,Temple
412,Bangalore,Commercial Street Street,4.3,Street
413,Bangalore,"ISKCON Bangalore, Sri Sri Lakshmi Narasimha Temple Temple",4.5,Temple
414,Bangalore,Art Of Living International Center Ashram,4.6,Ashram
415,Bangalore,Brigade Road Street,4,Street
416,Bangalore,Forum Mall Mall,4.1,Mall
417,Bangalore,HAL Heritage Centre And Aerospace Museum Museum,4.5,Museum
418,Bangalore,Bannerghatta National Park National Park,4.3,National Park
419,Bangalore,Bangalore Palace Palace,4.3,Palace
420,Bangalore,Vidhana Soudha Historic Place,4.3,Historic Place
421,Bangalore,Savandurga Hill,4.7,Hill
422,Bangalore,Cubbon Park Park,4.2,Park
423,Bangalore,Mahatma Gandhi (MG) Road Street,4.1,Street
424,Bangalore,Surayanarayana Temple Temple,4.5,Temple
425,Bangalore,Bugle Rock Rock,4.3,Rock
426,Bangalore,Madivala Lake Lake,4.3,Lake
427,Bangalore,Gavi Gangadhareshwara Temple Temple,4.4,Temple
428,Bangalore,Hebbal Lake Lake,4.2,Lake
429,Bangalore,Siddaganga Mutt Religious Place,4.6,Religious Place
430,Bangalore,Ulsoor Lake Lake,4.1,Lake
431,Bangalore,Kempegowda International Airport Airport,4,Airport
432,Bangalore,Venkatappa Art Gallery Art Gallery,4.3,Art Gallery
433,Bangalore,Ragigudda Prasanna Anjaneya Temple Temple,4.4,Temple
434,Bangalore,Sankey Tank Lake,4.1,Lake
435,Bangalore,Visvesvaraya Industrial And Technological Museum Museum,4.7,Museum
436,Bangalore,Vikasa Soudha Offbeat Attraction,4.5,Offbeat Attraction
437,Bangalore,Karnatak Chitrakala Parishath Craft,4.9,Craft
438,Bangalore,Jumma Masjid Mosque,4.5,Mosque
439,Bangalore,St. Marys Basilica Church,4.4,Church
440,Bangalore,Shivasamudram Falls Water Fall,4.2,Water Fall
441,Bangalore,MG Road Boulevard Craft,4.4,Craft
442,Bangalore,Bangalore Fort Fort,4,Fort
443,Bangalore,Fun World Theme Park,4.3,Theme Park
444,Bangalore,Bangalore Turf Club Club,4.1,Club
445,Bangalore,Breakout - Real Life Escape Games Entertainment Centre,4.9,Entertainment Centre
446,Bangalore,Dodda Alada Mara (Big Banyan Tree) Park,4,Park
447,Bangalore,Indira Gandhi Musical Fountain Park,4.1,Park
448,Bangalore,Tipu Sultan Palace Palace,4,Palace
449,Bangalore,Kempfort Shiva Temple Temple,4.6,Temple
450,Bangalore,Jawaharlal Nehru Planetarium Planetarium,4.5,Planetarium
451,Bangalore,Venkataramanaswamy Temple Temple,4.6,Temple
452,Bangalore,Lakes Lake,3.8,Lake
453,Bangalore,Rangoli Metro Art Center Craft,3.6,Craft
454,Bangalore,Meenakshi Temple Temple,4.3,Temple
455,Bangalore,Pyramid Valley International Architectural Building,5,Architectural Building
456,Bangalore,Lumbini Gardens Garden,3.9,Garden
457,Bangalore,Bangalore Airport,4.9,Airport
458,Bangalore,Jaganath Temple Temple,4.3,Temple
